name,keyword_id,wine_id,group_name,count
Tignanello,9,1652,tree_fruit,14
Castello della Sala Cervaro della Sala,9,1688,tree_fruit,259
Castello della Sala Muffato della Sala,9,1690,tree_fruit,21
Chardonnay,9,1697,tree_fruit,357
Puligny-Montrachet 1er Cru 'La Garenne',9,2997,tree_fruit,11
Sassicaia,9,5078,tree_fruit,14
Toscana Batar,9,6935,tree_fruit,48
Amarone della Valpolicella Classico,9,7103,tree_fruit,12
Corton-Charlemagne Grand Cru,9,7273,tree_fruit,116
Brut Cuvée Champagne Rosé,9,8305,tree_fruit,188
Castillo Ygay Gran Reserva Especial Tinto,9,11001,tree_fruit,12
60 Sessantanni Old Vines Primitivo di Manduria,9,11890,tree_fruit,10
Blanc de Blancs Brut Champagne Grand Cru,9,15617,tree_fruit,150
Barsac (Premier Grand Cru Classé),9,16786,tree_fruit,33
Pessac-Léognan (Grand Cru Classé de Graves),9,17656,tree_fruit,12
La Grande Année Brut Champagne,9,18931,tree_fruit,738
Costasera Amarone della Valpolicella Classico,9,21929,tree_fruit,14
Saint-Julien (Grand Cru Classé),9,22685,tree_fruit,10
Cuvée Annamaria Clementi (Extra Brut),9,23130,tree_fruit,46
Beaune 1er Cru 'Clos des Mouches' Blanc,9,24063,tree_fruit,21
Puligny-Montrachet,9,24139,tree_fruit,41
Corton-Charlemagne Grand Cru,9,41524,tree_fruit,17
Cabernet Sauvignon,9,66284,tree_fruit,29
Blanc de Blancs Brut Champagne (Vintage),9,74300,tree_fruit,125
Cristal Brut Champagne (Millésimé),9,74304,tree_fruit,740
Cristal Rosé Brut Champagne (Millésimé),9,74306,tree_fruit,63
Baron de L Pouilly-Fumé,9,74360,tree_fruit,41
Belondrade y Lurton,9,76476,tree_fruit,97
Tokaji Aszú 6 Puttonyos,9,77175,tree_fruit,11
Tokaji Aszú 3 Puttonyos,9,77182,tree_fruit,32
Quarz Sauvignon,9,77676,tree_fruit,28
Belle Epoque Brut Champagne,9,79162,tree_fruit,399
Pauillac (Grand Cru Classé),9,79262,tree_fruit,10
Saint-Julien (Grand Cru Classé),9,79265,tree_fruit,13
Vintage,9,79631,tree_fruit,386
Rosé,9,79632,tree_fruit,27
Collection,9,79633,tree_fruit,22
Clos du Mesnil,9,79635,tree_fruit,20
