wine_name,vintage_name,price,grape_name,ratings_average
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,1900.0,Cabernet Sauvignon,4.8
Grand Vin Pauillac (Premier Grand Cru Classé),Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 2003,1686.25,Cabernet Sauvignon,4.8
Cabernet Sauvignon,Scarecrow Cabernet Sauvignon 2015,1558.75,Cabernet Sauvignon,4.8
IX Estate Red,Colgin IX Estate Red 2016,745.0,Cabernet Sauvignon,4.8
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2000,2753.75,Cabernet Sauvignon,4.7
Montrachet Grand Cru Marquis de Laguiche,Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2014,2028.75,Chardonnay,4.8
Montrachet Grand Cru Marquis de Laguiche,Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2015,1601.25,Chardonnay,4.8
Montrachet Grand Cru Marquis de Laguiche,Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2016,1691.25,Chardonnay,4.8
Montrachet Grand Cru Marquis de Laguiche,Joseph Drouhin Montrachet Grand Cru Marquis de Laguiche 2017,811.8,Chardonnay,4.8
Chevalier-Montrachet Grand Cru,Domaine Leflaive Chevalier-Montrachet Grand Cru 2000,2562.5,Chardonnay,4.7
Messorio,Le Macchiole Messorio 2005,420.0,Merlot,4.7
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2019,455.2,Merlot,4.7
Messorio,Le Macchiole Messorio 2004,618.75,Merlot,4.6
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1998,1046.25,Merlot,4.6
Redigaffi Toscana,Tua Rita Redigaffi Toscana 2008,470.0,Merlot,4.6
