vintages,avg_wine_rating
Quintarelli Giuseppe Amarone della Valpolicella Classico Riserva,4.8
Scarecrow Cabernet Sauvignon,4.8
Tenuta Hortense Fratini Bolgheri Superiore,4.8
Sierra Cantabria Mágico,4.8
Louis Roederer Cristal Rosé Vinothèque,4.8
Pierre Girardin Batard-Montrachet Grand Cru,4.8
Caymus Special Selection Cabernet Sauvignon,4.7
Krug Clos du Mesnil,4.7
Krug Collection,4.7
Domaine de La Romanée-Conti Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7
Giacomo Conterno Barolo Riserva Monfortino,4.7
Château Rayas Châteauneuf-du-Pape,4.7
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,4.7
Casanova di Neri Cerretalto Brunello di Montalcino,4.7
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7
Domaine Armand Rousseau Chambertin Grand Cru,4.7
Pétrus Pomerol,4.7
Harlan Estate Harlan Estate Red,4.7
Château d'Yquem Sauternes,4.7
Vega Sicilia Unico,4.7
