name,ratings_average,ratings_count,price_euros
Cabernet Sauvignon,4.5,3087,201.25
Cabernet Sauvignon,4.5,3087,178.75
Cabernet Sauvignon,4.5,3087,221.25
Cabernet Sauvignon,4.5,3087,201.25
Cabernet Sauvignon,4.5,3087,201.25
Cabernet Sauvignon,4.5,3087,201.25
Cabernet Sauvignon,4.8,2941,1558.75
Cabernet Sauvignon,4.4,28544,85.95
Cabernet Sauvignon,4.4,2830,121.95
Cabernet Sauvignon,4.6,5927,275.0
Cabernet Sauvignon,4.6,157944,177.95
Cabernet Sauvignon,4.4,28544,95.95
Cabernet Sauvignon,4.6,152,209.05
Cabernet Sauvignon,4.4,2830,134.95
Cabernet Sauvignon,4.4,2408,36.3
